dep_country_chooser,arrival_country_chooser,dep_day,dep_month,dep_year,arr_day,arr_month,arr_year
Tel Aviv,London,1,8,2021,8,8,2021
Tel Aviv,London,1,4,2021,5,4,2021
Tel Aviv,Los Angeles,1,8,2021,8,8,2021
Tel Aviv,Los Angeles,1,4,2021,5,4,2021
Tel Aviv,Berlin,1,8,2021,8,8,2021
Tel Aviv,Berlin,1,4,2021,5,4,2021
Tel Aviv,Bankok,1,8,2021,8,8,2021
Tel Aviv,Bankok,1,4,2021,5,4,2021
Tel Aviv,Larnaca,1,8,2021,8,8,2021
